綜合,#genre#
超人力霸王王整套餐,http://4gtv.mumi.rip:9877/278/4gtv-live015/index.m3u8
CinemaWorld,http://4gtv.mumi.rip:9877/225/4gtv-live069/index.m3u8
LiveABC互動英語頻道,http://4gtv.mumi.rip:9877/188/4gtv-live030/index.m3u8
TRACE Urban,http://4gtv.mumi.rip:9877/78/4gtv-4gtv082/index.m3u8
Pet Club TV,http://4gtv.mumi.rip:9877/182/4gtv-live110/index.m3u8
Love Nature,http://4gtv.mumi.rip:9877/139/4gtv-live208/index.m3u8
DreamWorks 夢工廠動畫,http://4gtv.mumi.rip:9877/282/4gtv-live017/index.m3u8
TechStorm,http://4gtv.mumi.rip:9877/181/4gtv-live109/index.m3u8
好消息,http://4gtv.mumi.rip:9877/79/iltv-ftv16/index.m3u8
車迷TV,http://4gtv.mumi.rip:9877/160/4gtv-live201/index.m3u8
Globetrotter 環遊旅行家,http://4gtv.mumi.rip:9877/288/4gtv-4gtv016/index.m3u8
中視,http://4gtv.mumi.rip:9877/4/4gtv-4gtv040/index.m3u8
民視,http://4gtv.mumi.rip:9877/5/4gtv-4gtv002/index.m3u8
華視,http://4gtv.mumi.rip:9877/7/4gtv-4gtv041/index.m3u8
TV5MONDE STYLE HD 生活時尚,http://4gtv.mumi.rip:9877/178/4gtv-live122/index.m3u8
TVBS,http://4gtv.mumi.rip:9877/183/4gtv-4gtv073/index.m3u8
My Cinema Europe HD 我的歐洲電影,http://4gtv.mumi.rip:9877/176/4gtv-live157/index.m3u8

民視,rtmp://f13h.mine.nu/sat/tv051
台視,rtmp://f13h.mine.nu/sat/tv071
中視,rtmp://f13h.mine.nu/sat/tv091
華視,rtmp://f13h.mine.nu/sat/tv111
TVBS新聞,rtmp://f13h.mine.nu/sat/tv551
TVBS歡樂,rtmp://f13h.mine.nu/sat/tv421
東森財經新聞,rtmp://f13h.mine.nu/sat/tv571
東森超視,rtmp://f13h.mine.nu/sat/tv521
緯來育樂,rtmp://f13h.mine.nu/sat/tv701
緯來體育,rtmp://f13h.mine.nu/sat/tv721
ELEVEN1,rtmp://f13h.mine.nu/sat/tv731
ELEVEN2,rtmp://f13h.mine.nu/sat/tv741
緯來日本,rtmp://f13h.mine.nu/sat/tv771
MOMO綜合,rtmp://f13h.mine.nu/sat/tv761
ELTA體育2,rtmp://f13h.mine.nu/sat/md011
ELEVEN2,rtmp://f13h.mine.nu/sat/md021
博斯網球,rtmp://f13h.mine.nu/sat/md031
ELTA體育3,rtmp://f13h.mine.nu/sat/md041
ELTA體育1,rtmp://f13h.mine.nu/sat/md051
CINEMAX,http://125.227.210.55:8151/VideoInput/play.ts
CNBC,http://125.227.210.55:8152/VideoInput/play.ts
HBO HD,http://125.227.210.55:8153/VideoInput/play.ts
Discovery,http://125.227.210.55:8154/VideoInput/play.ts
中視,rtmp://220.130.201.73/sat/tv091
華視,rtmp://220.130.201.73/sat/tv111
台視,rtmp://220.130.201.73/sat/tv071
民視,rtmp://220.130.201.73/sat/tv051
緯來體育,https://hls.szsummer.cn/live/446035/playlist.m3u8?k=32f9ec7c13e4b390289143a8e1b2a898&t=1840341130
緯來體育,rtmp://220.130.201.73/sat/tv721
緯來育樂,rtmp://220.130.201.73/sat/tv701
緯來日本,rtmp://220.130.201.73/sat/tv771
東森超視,rtmp://220.130.201.73/sat/tv331
八大戲劇,http://61.221.215.25:8800/hls/39/index.m3u8
三立戲劇,http://61.221.215.25:8800/hls/41/index.m3u8
中華小當家,http://61.221.215.25:8800/hls/40/index.m3u8
AMC電影,http://61.221.215.25:8800/hls/43/index.m3u8
鳳凰資訊,http://61.221.215.25:8800/hls/47/index.m3u8
緯來精彩,http://61.221.215.25:8800/hls/48/index.m3u8
49號,http://61.221.215.25:8800/hls/49/index.m3u8
探索亞洲,http://61.221.215.25:8800/hls/50/index.m3u8
八大第一,http://61.221.215.25:8800/hls/55/index.m3u8
動物星球,http://61.221.215.25:8800/hls/57/index.m3u8
八大綜合,http://61.221.215.25:8800/hls/56/index.m3u8
緯來體育,http://125.227.210.55:8155/VideoInput/play.ts
三立台灣,http://125.227.210.55:8160/VideoInput/play.ts
Bloomberg,http://125.227.210.55:8161/VideoInput/play.ts
三立新聞,http://125.227.210.55:8162/VideoInput/play.ts
BBC new,http://125.227.210.55:8165/VideoInput/play.ts
CNN new,http://125.227.210.55:8166/VideoInput/play.ts
CN卡通,http://125.227.210.55:8167/VideoInput/play.ts
JTV,http://125.227.210.55:8169/VideoInput/play.ts
TVBS新聞,http://125.227.210.55:8186/VideoInput/play.ts
食尚玩家,http://125.227.210.55:8187/VideoInput/play.ts
TVBS HD,http://125.227.210.55:8188/VideoInput/play.ts
TV5,http://125.227.210.55:15533/VideoInput/play.ts
YTN,http://125.227.210.55:17478/VideoInput/play.ts
NHK JAPAN,http://125.227.210.55:35802/VideoInput/play.ts
PBS,http://125.227.210.55:36950/VideoInput/play.ts
HD臺🍒,http://125.227.210.55:39004/VideoInput/play.ts
DW,http://125.227.210.55:42534/VideoInput/play.ts
BBC,http://125.227.210.55:44350/VideoInput/play.ts
KOREA,http://125.227.210.55:48553/VideoInput/play.ts
Mainu,http://125.227.210.55:51359/VideoInput/play.ts
NHK BSP,http://125.227.210.55:60116/VideoInput/play.ts

大愛,https://pulltv1.wanfudaluye.com/live/tv1.m3u8
中國環球,http://live.cgtn.com/500/prog_index.m3u8
大愛2,https://pulltv2.wanfudaluye.com/live/tv2.m3u8
番薯,http://61.216.67.119:1935/TWHG/E1/chunklist_w70581102.m3u8
緯來體育,https://cloud.yumixiu768.com/tmp/123.m3u8
緯來體育,http://hls.szsummer.cn/live/446035/playlist.m3u8?k=32f9ec7c13e4b390289143a8e1b2a898&t=1840341130
星光視界頻道,http://ali.hlspull.yximgs.com/live/zxcvbnm9852.flv
AMC電影,http://mywlkj.ddns.net:754/tv/tw3.php?id=7
澳視衛星,http://61.244.22.5/ch3/ch3.live/index.m3u8
緯來精彩,http://mywlkj.ddns.net:754/tv/tw3.php?id=9
八大戲劇,http://mywlkj.ddns.net:754/tv/tw3.php?id=4
澳門蓮花,http://61.244.22.5/ch3/ch3.live/chunklist.m3u8
澳亞衛視,http://mywlkj.ddns.net:754/tv/dl/dl668/top.php?id=308 
港臺電視32,https://rthktv32-live.akamaized.net/hls/live/2036819/RTHKTV32/stream1/streamPlaylist.m3u8?$720P
港臺電視33,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream04/streamPlaylist.m3u8?$720P
